Car_ID,Car_MakeName,Car_Model,Car_Series,Car_SeriesYear,Car_PriceNew,Car_EngineSize,Car_FuelSystem,Car_TankCapacity,Car_Power,Car_SeatingCapacity,Car_StandardTransmission,Car_BodyType,Car_Drive,Car_Wheelbase
14806,LAND ROVER,DISCOVERY 3,HSE,2006.0,83650.0,2.7L,DIESEL TURBO F/INJ,82L,140Kw,7.0,6A,4D WAGON,4WD,2885mm
14810,LAND ROVER,DISCOVERY,Tdi 4x4,1996.0,51800.0,2.5L,DIESEL TURBO,88.5L,83Kw,5.0,4A4x4,4D WAGON,4WD,2540mm
14811,LAND ROVER,FREELANDER,XEi 4x4,2000.0,34886.0,1.8L,MULTI POINT F/INJ,59L,84Kw,5.0,5M4x4,3D HARDBACK,4WD,2535mm
14812,LAND ROVER,DISCOVERY,ES V8 4x4,1999.0,66000.0,4.0L,MULTI POINT F/INJ,95L,132Kw,7.0,4A,4D WAGON,4WD,2540mm
14813,LAND ROVER,DISCOVERY,Tdi 4x4,1994.0,50430.0,2.5L,DIESEL TURBO,88.5L,83Kw,5.0,4A4x4,4D WAGON,4WD,2540mm
14814,LAND ROVER,DISCOVERY,SERIES II SE 4x4,2004.0,71450.0,4.0L,MULTI POINT F/INJ,93L,136Kw,7.0,4A,4D WAGON,4WD,2540mm
14815,LAND ROVER,(4x4),SWB,1978.0,9045.0,2.3L,DIESEL,45L,46Kw,8.0,4M4x4,2D HARDTOP,4WD,2230mm
14816,LAND ROVER,DISCOVERY,SERIES II S 4x4,2003.0,55450.0,4.0L,MULTI POINT F/INJ,93L,136Kw,7.0,4A,4D WAGON,4WD,2540mm
14817,LAND ROVER,DISCOVERY,SERIES II,2003.0,51950.0,2.5L,DIESEL TURBO F/INJ,93L,101Kw,5.0,5M,4D WAGON,4WD,2540mm
14818,LAND ROVER,DISCOVERY,S 4x4,1998.0,39990.0,2.5L,DIESEL TURBO,88.5L,83Kw,5.0,5M4x4,4D WAGON,4WD,2540mm
14819,LAND ROVER,(4x4),LWB,1972.0,5203.0,2.3L,DIESEL,73L,46Kw,12.0,4M4x4,2D HARDTOP,4WD,2768mm
14831,BMW,X5,E53 3.0d,2004.0,84500.0,3.0L,TURBO CDI,93L,150Kw,5.0,6A,4D WAGON,4WD,2820mm
14832,BMW,3,E46 18i EXECUTIVE,2002.0,56550.0,2.0L,MULTI POINT F/INJ,63L,105Kw,5.0,5AS,4D SEDAN,RWD,2725mm
14833,BMW,3,23i,1996.0,62550.0,2.5L,MULTI POINT F/INJ,62L,125Kw,5.0,5M,4D SEDAN,RWD,2700mm
14834,BMW,3,E46 30Ci,2001.0,109050.0,3.0L,MULTI POINT F/INJ,63L,170Kw,5.0,5AS,2D CONVERTIBLE,RWD,2725mm
14835,BMW,7,35i EXECUTIVE,1987.0,136500.0,3.4L,ELECTRONIC F/INJ,90L,155Kw,5.0,4A,4D SEDAN,RWD,2833mm
14836,BMW,5,E60 25i,2005.0,89000.0,2.5L,MULTI POINT F/INJ,70L,141Kw,5.0,6AS,4D SEDAN,RWD,2888mm
14837,BMW,3,E91 23i TOURING,2006.0,71500.0,2.5L,MULTI POINT F/INJ,60L,130Kw,5.0,6AS,4D WAGON,RWD,2760mm
14838,BMW,5,E34 25i EXECUTIVE,1996.0,98200.0,2.5L,ELECTRONIC F/INJ,80L,141Kw,5.0,5A,4D SEDAN,RWD,2761mm
14839,BMW,3,E36 16i OPEN AIR,1995.0,46200.0,1.6L,MULTI POINT F/INJ,52L,75Kw,5.0,5M,3D HATCHBACK,RWD,2700mm
14842,BMW,3,E90 20i EXECUTIVE,2005.0,57200.0,2.0L,MULTI POINT F/INJ,65L,110Kw,5.0,6AS,4D SEDAN,RWD,2760mm
14843,BMW,3,E46 30i,2001.0,90700.0,3.0L,MULTI POINT F/INJ,63L,170Kw,5.0,5AS,4D SEDAN,RWD,2725mm
14846,BMW,X5,E53 3.0i,2004.0,84000.0,3.0L,MULTI POINT F/INJ,93L,170Kw,5.0,5AS,4D WAGON,4WD,2820mm
14847,BMW,3,18is,1998.0,56600.0,1.9L,MULTI POINT F/INJ,65L,103Kw,5.0,4A,4D SEDAN,RWD,2700mm
14850,BMW,7,35i,1984.0,59500.0,3.2L,ELECTRONIC F/INJ,100L,145Kw,5.0,4A,4D SEDAN,RWD,2795mm
14851,BMW,3,E46 20i SPORT,2005.0,65300.0,2.2L,MULTI POINT F/INJ,63L,125Kw,5.0,5AS,4D SEDAN,RWD,2725mm
